,BE,BISAMBERG,CH,CZ,DE,DREIBEIN MELLACH,DUERNROHR,ERNSTHOFEN,ETZERSDORF,FEISTRITZ,FR,GREUTH,HAUSRUCK,HESSENBERG,HU,IT,JOCHENSTEIN,KAINACHTAL,KAPRUN,KLAUS,KLEDERING,KRONSTORF,LIENZ,LU,MATREI,MAYRHOFEN,MEININGEN,NAUDERS,NEUSIEDL,NL,OBERSIELACH,OSTSTEIERMARK,PHYRN,PL,PONGAU,ROSEGG,SALZACH,SALZBURG,SARASDORF,SATTLEDT,SCHAERDING,SCHWARZENBACH,SI,SK,ST PETER,SUEDBURGENLAND,SW WEIBERN,TAUERN,TERNITZ,VILL,VILLACH SUED,WAGENHAM,WALGAUWERK,WALLSEE,WEISSENBACH,WERBEN,WESTTIROL,WIEN SUEDOST,YBBSFELD,ZAYA,ZELL AM ZILLER,ZELTWEG,ZURNDORF
CZ3-PL3,0.030091774928432288,-0.004593646445929667,0.03011799779381018,-0.015195311609841299,0.0301186993801049,-0.001762947139943241,-0.007605013227171718,0.01881893263557543,-0.005325417710022748,0.02100240695669459,0.02967917358848724,0.02192662708687591,0.023355904201089513,0.014868115836258052,0.0009352090410637724,0.02390280757295229,0.02980594856590806,0.020236393684512133,0.025614348353045626,0.01881893263557543,-0.0019118107765849302,0.011678292488347545,0.02376362097789455,0.030094870851095995,0.024422439484323412,0.027463376939545234,0.030118070526224686,0.03010588521681723,9.387063849891667e-05,0.030101547018023297,0.019934657711057596,-0.001762947139943241,0.019105680139799176,0.040761557931258276,0.024190110681656357,0.021281815617507648,0.027728711541844118,0.027728711541844118,-0.002506969347137771,0.02220726014169913,0.02980594856590806,0.026033527366305168,0.020295997334872667,0.0,0.02980594856590806,-0.0017629471399432477,0.025034909705906973,0.02571749091603557,0.0046180458165989684,0.03011869938010494,0.021658621581108258,0.029323071721133465,0.0301186993801049,0.015850195810883073,0.019105680139799176,0.030118699380104925,0.03006476485739854,-0.0017629471399432477,0.011923905253091444,-0.012446541644219232,0.027463376939545234,0.01681101504876165,-0.0005743205768961918
CZ4-PL4,0.020515445085846736,-0.0031317760959398097,0.020533322853307553,-0.010359594328863651,0.02053380116856601,-0.0012019113304141801,-0.005184813179356973,0.012830043424743592,-0.003630670335964101,0.01431865443681626,0.0202341489458842,0.014948753105740368,0.015923180709922716,0.010136524505257937,0.0006375904967839917,0.016296038945084978,0.020320579377246985,0.013796415278180242,0.017462903344732453,0.012830043424743592,-0.0013034009823228961,0.00796182241861638,0.01620114673768331,0.020517555769963853,0.016650304519912045,0.018723501781305624,0.020533372439543635,0.020525064951979432,6.399748548824552e-05,0.020522107330525063,0.013590702992728373,-0.0012019113304141801,0.013025537133253539,0.02778970351005001,0.016491911443919937,0.014509144796758579,0.018904396975284177,0.018904396975284177,-0.0017091578045969873,0.015140078211660241,0.020320579377246985,0.017748683895999973,0.01383705081459495,0.0,0.020320579377246985,-0.0012019113304141847,0.017067863777466566,0.017533222081067088,0.003148410673005661,0.020533801168566037,0.014766036989813096,0.019991372030197477,0.02053380116856601,0.010806069849035338,0.013025537133253539,0.020533801168566027,0.020497030631053837,-0.0012019113304141847,0.008129272002413628,-0.008485585919008705,0.018723501781305624,0.011461120418800782,-0.00039155025866729353
LU5-DE5,-0.0019328082244517487,2.036472411787381e-05,0.00012710250364907799,7.045987289190134e-05,0.00012714849703190676,-1.866952744484722e-05,4.496880160542859e-05,3.4408800319674166e-05,4.9771349489423284e-05,-0.0005544267686225897,-0.0011227735491883412,-0.0005229648434176702,7.131555059290837e-05,-0.00025848148653629576,-4.470290441545595e-05,-0.0008334663553953293,0.00012378450993861032,-0.0006676562373525987,-0.00015732790891256651,3.4408800319674166e-05,-1.661675531574862e-05,8.559399075130944e-05,-0.000460430645650549,-0.00555888490442305,-0.0003595942503776581,-4.692454652395336e-05,0.00012710727171506316,0.00012630844824157883,-3.658518315529889e-05,-0.0011851576546012155,-0.000590774653511505,-1.866952744484722e-05,-0.0001447217740954277,0.00011341291709241887,-0.00010139795149340099,-0.0005449152528039754,4.0491979830457916e-05,4.0491979830457916e-05,-1.2539799547834402e-05,6.197171432666583e-05,0.00012378450993861032,-0.00014066015589436472,-0.0006828431008543805,0.0,0.00012378450993861032,-1.866952744484722e-05,8.497370030332133e-05,-0.0001613783277942001,-0.00011068038832891626,0.00012714849703190676,-0.0005320881776771357,9.010468661066381e-05,0.0001271484970319307,3.2627998382214654e-05,-0.0001447217740954277,0.0001271484970318828,0.0001236127507222197,-1.8669527444871176e-05,3.0272806175833942e-05,5.5290936229109166e-05,-4.692454652395336e-05,-0.00038590807224118343,-3.0598127170434604e-05
LU6-DE6,-0.0024114579058772154,2.5407939780981187e-05,0.00015857876296459662,8.790888582879211e-05,0.00015863614636416897,-2.329293666402877e-05,5.6105086256032704e-05,4.2929956791841124e-05,6.209695959178382e-05,-0.0006917276103810777,-0.0014008224496602857,-0.0006524743066597312,8.897646756342673e-05,-0.0003224930525156745,-5.577334104054868e-05,-0.0010398698673640247,0.00015443908575113292,-0.0008329977550819098,-0.0001962893291547095,4.2929956791841124e-05,-2.073180643028125e-05,0.00010679088751879386,-0.0005744538472652206,-0.006935513198385152,-0.0004486458547780472,-5.8545161006332117e-05,0.00015858471181677463,0.00015758806395685542,-4.564530926643617e-05,-0.001478655647126954,-0.0007370768557270055,-2.329293666402877e-05,-0.00018056135206791584,0.00014149902307492907,-0.00012650861512029975,-0.0006798606182359155,5.051960336855248e-05,5.051960336855248e-05,-1.564521424070322e-05,7.73186799203489e-05,0.00015443908575113292,-0.00017549389571208088,-0.0008519455645922083,0.0,0.00015443908575113292,-2.329293666402877e-05,0.00010601698543900252,-0.00020134281273919715,-0.0001380897980900476,0.00015863614636416897,-0.0006638569861463052,0.00011241863322757113,0.00015863614636419887,4.0708148721820975e-05,-0.00018056135206791584,0.0001586361463641391,0.00015422479127792418,-2.3292936664058656e-05,3.7769705686403854e-05,6.89834426438549e-05,-5.8545161006332117e-05,-0.00048147615473428945,-3.817559069581814e-05
LU7-DE7,-0.011865650490508419,0.0001250205248825763,0.0007802915290244721,0.00043255829252180494,0.0007805738857521692,-0.00011461358901571772,0.0002760667489286907,0.0002112381317638275,0.0003055499402430158,-0.0034036663212790776,-0.00689278860991783,-0.0032105192705177503,0.0004378113602624243,-0.0015868366756234846,-0.00027443438670945476,-0.005116710671864042,0.00075992212392776,-0.004098790278316947,-0.0009658474937877427,0.0002112381317638275,-0.00010201147137548988,0.0005254677445461182,-0.0028266172749540327,-0.034126399380133565,-0.0022075752986760863,-0.00028807320945499845,0.0007803208005288978,0.0007754167650327389,-0.00022459910453617268,-0.0072757691775849455,-0.003626808634471292,-0.00011461358901571772,-0.0008884575138176258,0.000696250159898492,-0.0006224894108237267,-0.0033452744327767234,0.0002485832139260562,0.0002485832139260562,-7.69827429194867e-05,0.0003804488687471472,0.00075992212392776,-0.0008635229438018285,-0.004192023539682191,0.0,0.00075992212392776,-0.00011461358901571772,0.0005216597362991978,-0.0009907133103657184,-0.0006794749667609627,0.0007805738857521692,-0.003266528084150363,0.0005531592350204328,0.0007805738857523163,0.0002003056589424701,-0.0008884575138176258,0.0007805738857520222,0.0007588676815860773,-0.00011461358901586476,0.00018584696241720573,0.00033943508532704764,-0.00028807320945499845,-0.0023691177679971993,-0.00018784413170193958
LU8-DE8,-0.011865650490508419,0.0001250205248825763,0.0007802915290244721,0.00043255829252180494,0.0007805738857521692,-0.00011461358901571772,0.0002760667489286907,0.0002112381317638275,0.0003055499402430158,-0.0034036663212790776,-0.00689278860991783,-0.0032105192705177503,0.0004378113602624243,-0.0015868366756234846,-0.00027443438670945476,-0.005116710671864042,0.00075992212392776,-0.004098790278316947,-0.0009658474937877427,0.0002112381317638275,-0.00010201147137548988,0.0005254677445461182,-0.0028266172749540327,-0.034126399380133565,-0.0022075752986760863,-0.00028807320945499845,0.0007803208005288978,0.0007754167650327389,-0.00022459910453617268,-0.0072757691775849455,-0.003626808634471292,-0.00011461358901571772,-0.0008884575138176258,0.000696250159898492,-0.0006224894108237267,-0.0033452744327767234,0.0002485832139260562,0.0002485832139260562,-7.69827429194867e-05,0.0003804488687471472,0.00075992212392776,-0.0008635229438018285,-0.004192023539682191,0.0,0.00075992212392776,-0.00011461358901571772,0.0005216597362991978,-0.0009907133103657184,-0.0006794749667609627,0.0007805738857521692,-0.003266528084150363,0.0005531592350204328,0.0007805738857523163,0.0002003056589424701,-0.0008884575138176258,0.0007805738857520222,0.0007588676815860773,-0.00011461358901586476,0.00018584696241720573,0.00033943508532704764,-0.00028807320945499845,-0.0023691177679971993,-0.00018784413170193958
LU1-BE1,0.04655768365062318,-0.000490547572760125,-0.0030616582034515005,-0.0016972446778007466,-0.0030627660967974535,0.00044971350064093585,-0.0010832131262739075,-0.0008288427272962196,-0.0011988973945142867,0.013355089125970387,0.027045484933823083,0.012597231030064826,-0.0017178563304254268,0.006226328679410642,0.0010768081673639962,0.02007662344200245,-0.0029817340290971828,0.0160825722349367,0.0037897308796130957,-0.0008288427272962196,0.0004002661140956043,-0.0020617968680936016,0.011090900831254302,-0.6753373825634856,0.008661943352605839,0.0011303233113713063,-0.0030617730571247392,-0.003042530914982855,0.0008812676612679482,0.028548199692539633,0.014230640722150412,0.00044971350064093585,0.003486073005296575,-0.002731902032024891,0.0024424843027448517,0.013125974752945524,-0.000975374982106203,-0.000975374982106203,0.0003020599835013016,-0.0014927810397402652,-0.0029817340290971828,0.0033882363276038774,0.016448394967691904,0.0,-0.0029817340290971828,0.00044971350064093585,-0.0020468552478680735,0.003887297786948629,0.002666080597626408,-0.0030627660967974535,0.012816994845694651,-0.0021704509746944822,-0.0030627660967930126,-0.0007859465867454674,0.003486073005296575,-0.0030627660968018944,-0.0029775966753931016,0.0004497135006387154,-0.0007292144742176987,-0.0013318537685980125,0.0011303233113713063,0.009295793404811015,0.0007370508398496511
SI1-HU1,-0.04562667762412554,-0.01787288299497829,-0.04533962829439773,-0.026530510961270383,-0.04533560729835453,-0.01026484445578551,-0.02250428949434935,-0.043284771364374315,-0.02389925833559575,-0.12417474570327568,-0.050087158672780185,-0.11553308938832019,-0.0441571759438993,-0.07497950064608135,0.01655382282040168,-0.11253332316128682,-0.04539744120912135,-0.14973447673419454,-0.07010299345344824,-0.043284771364374315,-0.010664943569901638,-0.034304457737801795,-0.09835680276519597,-0.04559320874500968,-0.08898417080013368,-0.06055403603225955,-0.045339211443679625,-0.045409049012174206,0.008191232528595613,-0.04552103516442737,-0.1341584300118367,-0.01026484445578551,-0.0648488644419582,-0.040618595458289476,-0.063789423699485,-0.12156221483609493,-0.052200434415541126,-0.052200434415541126,-0.0035187162045704984,-0.04393630562915603,-0.04539744120912135,-0.06874892170722566,-0.15281130324649228,0.0,-0.04539744120912135,-0.01026484445578551,-0.044480028329086,-0.07056021894264937,-0.03509451204385502,-0.04533560729835453,-0.1180389983116691,-0.04836934987450997,-0.04533560729835453,-0.04006252026061649,-0.0648488644419582,-0.04533560729835453,-0.04564472180647108,-0.010264844455785507,-0.03580094544593783,-0.023088866735290557,-0.06055403603225955,-0.09767322313033126,0.0077512307555308605
SI2-OBERSIELACH2,0.0010190371427112157,0.007203482264051883,0.0010968585158952244,0.0015375479475080586,0.0010901815336478097,0.011275876282911297,0.004669709098647507,0.019087291461785696,0.0044847933799244,0.19703545312019918,-7.120868241778644e-05,0.15654537968221796,0.011880559241300753,0.11184137199633037,-0.0007909243987699023,-0.015334510865810894,0.0016350150768140697,0.013169115178093185,0.04306103299586715,0.019087291461785696,0.01106171316703275,0.003105490223448802,0.07606669811760638,0.001027217719050358,0.0649090944195295,0.026360830248101548,0.0010961663230119269,0.001212133660465546,0.002971742447967321,0.0010448586290903758,0.24381353548106238,0.011275876282911297,0.06911106505282168,0.0010921045602745871,0.04422980117886549,0.18479456285381896,0.01739036068096432,0.01739036068096432,0.005264405900032799,0.013705117767432792,0.0016350150768140697,0.03996867904564549,-0.032391409899369825,0.0,0.0016350150768140697,0.011275876282911304,0.009213550445849249,0.042976391402432805,0.049860765338816664,0.0010901815336478097,0.1682866978551812,0.006517734935579502,0.0010901815336478097,0.017580413391663104,0.06911106505282168,0.0010901815336478097,0.0016034752700603769,0.011275876282911304,0.015587498058361874,0.002717608588454074,0.026360830248101548,0.16244958146998198,0.0018645743586169327
SI3-KAINACHTAL3,0.00025236620891077585,0.001783954120747803,0.0002716387987895105,0.0003807762546307007,0.0002699852332558252,0.0027924891354736544,0.0011564610675587244,0.004726998833202353,0.0011106663884972656,0.04879615103396867,-1.7634946235107156e-05,0.038768718368584705,0.0029422398554480966,0.027697698020111985,-0.0001958737161645859,-0.003797616603463075,0.00040491414802574973,0.2122716546735303,0.010664134989266221,0.004726998833202353,0.002739451290848099,0.0007690797142252408,0.018838041739309228,0.0002543921419713906,0.016074843002194722,0.006528302565845732,0.00027146737609403597,0.0003001868761829152,0.0007359568596855909,0.00025876094208860463,0.060380819355398296,0.0027924891354736544,0.017115467876629563,0.00027046147393350534,0.010953582334290437,0.04576467461300119,0.004306751160187709,0.004306751160187709,0.0013037386994786632,0.0033940947475579845,0.00040491414802574973,0.009898308494511229,-0.008021785443295957,0.0,0.00040491414802574973,0.0027924891354736666,0.002281750781370732,0.010643173360728979,0.01234809978414361,0.0002699852332558252,0.041676474946566025,0.001614127677428167,0.0002699852332558252,0.004353818023682664,0.017115467876629563,0.0002699852332558252,0.0003971032634891697,0.0027924891354736544,0.003860269293940293,0.0006730201952666776,0.006528302565845732,0.040230903562205746,0.00046176487823048495
